0.00	0.05	-0.73	9.16	0.00
0.10	0.11	-0.56	7.79	0.01
0.16	-0.39	-0.65	9.50	-0.01
0.23	0.24	-0.55	8.16	0.00
0.30	-0.43	-0.37	7.64	-0.03
0.37	0.22	-0.63	8.48	-0.01
0.43	-0.21	-0.73	9.63	-0.03
0.50	0.39	-1.03	10.27	0.00
0.57	-0.17	-0.34	7.92	-0.01
0.64	0.44	-0.75	8.53	0.02
0.71	0.22	-0.90	10.04	0.04
0.77	0.02	-0.53	7.87	0.04
0.84	-0.23	-0.92	9.94	0.02
0.91	-0.75	-0.76	9.51	-0.02
0.98	-0.23	-0.95	10.07	-0.04
1.05	-0.07	-0.37	7.73	-0.04
1.11	0.20	-0.54	8.42	-0.03
1.18	0.52	-0.88	9.86	0.01
1.25	-0.02	-1.13	10.94	0.01
1.32	-0.78	-0.49	8.67	-0.05
1.39	-0.17	-0.98	9.61	-0.06
1.46	0.04	-0.29	7.63	-0.06
1.53	0.22	-0.37	8.11	-0.04
1.59	0.43	-0.70	9.00	-0.01
1.66	-0.41	-0.30	7.96	-0.04
1.73	-0.17	-1.17	10.37	-0.05
1.80	-0.05	-0.55	9.20	-0.05
1.86	-0.00	-0.36	8.00	-0.05
1.93	0.07	-0.47	10.38	-0.05
2.00	0.09	-0.58	10.06	-0.04
2.07	0.15	-0.71	9.46	-0.03
2.14	0.37	-0.87	10.27	-0.00
2.20	-0.38	-0.76	10.01	-0.03
2.27	-0.18	-0.62	8.78	-0.04
2.34	-0.06	-0.71	9.03	-0.04
2.41	0.11	-0.86	8.40	-0.03
2.48	0.22	-0.90	9.89	-0.02
2.55	0.46	-0.49	9.28	0.01
2.61	-0.07	-0.06	8.82	0.01
2.68	-0.87	-1.18	10.65	-0.05
2.75	-0.42	-0.28	8.94	-0.08
2.82	-0.21	-1.11	10.45	-0.09
2.89	0.57	0.13	8.28	-0.05
2.95	1.01	-0.79	8.61	0.02
3.02	0.51	0.07	8.46	0.05
3.09	0.30	-0.55	9.81	0.07
3.16	0.19	-0.74	8.30	0.09
3.22	-0.20	-1.29	9.65	0.07
3.29	-0.42	-0.68	9.06	0.05
3.36	-0.57	-1.41	9.92	0.01
3.42	0.26	-0.95	9.99	0.03
3.49	0.35	-0.72	8.75	0.05
3.58	0.32	-0.79	10.04	0.08
3.64	-0.02	-0.70	9.16	0.08
3.71	-0.15	-0.46	8.94	0.07
3.78	-0.19	-1.33	10.30	0.06
3.85	-0.18	-0.31	7.53	0.05
3.92	-0.24	-0.92	9.40	0.03
3.99	-0.52	-1.24	10.04	-0.01
4.06	0.24	-0.68	7.93	0.01
4.12	-0.25	-0.64	9.14	-0.00
4.19	0.45	-1.18	9.58	0.03
4.26	0.25	-0.49	8.15	0.04
4.33	-0.01	-0.50	9.47	0.04
4.40	-0.13	-1.07	10.02	0.04
4.47	-0.36	-0.87	10.77	0.01
4.54	0.57	-1.01	9.68	0.05
4.61	0.26	-0.68	8.03	0.07
4.67	0.12	-1.02	7.86	0.08
4.75	-0.06	-0.41	9.57	0.07
4.81	0.00	-0.74	9.55	0.07
4.88	0.07	-0.44	7.61	0.08
4.95	0.08	0.35	7.67	0.09
5.02	-0.04	0.70	9.74	0.08
5.09	0.09	-0.22	8.10	0.09
5.16	0.14	-1.00	8.98	0.10
5.23	-0.05	-0.47	10.03	0.10
5.30	-0.75	-1.46	9.82	0.05
5.36	-1.56	-1.21	11.17	-0.06
5.43	-0.33	-2.19	9.66	-0.08
5.50	-0.19	-1.53	10.17	-0.09
5.57	0.26	-0.26	10.42	-0.07
5.64	-0.10	-0.67	7.85	-0.08
5.71	-0.14	-1.15	8.36	-0.09
5.78	0.10	-0.98	8.86	-0.08
5.84	-0.06	-1.24	10.14	-0.08
5.92	-0.20	-0.39	8.69	-0.10
5.98	-0.11	-0.67	9.05	-0.10
6.05	-0.09	-0.62	9.27	-0.11
6.12	0.19	-0.80	9.26	-0.10
6.19	0.37	-0.19	8.54	-0.07
6.26	0.52	-0.99	10.13	-0.03
6.33	-0.15	-1.03	10.05	-0.04
6.40	0.03	-1.30	9.16	-0.04
6.46	0.36	-0.25	8.04	-0.01
6.53	-0.40	-0.27	8.15	-0.04
6.60	-0.11	-0.94	9.56	-0.05
6.68	0.22	-0.44	7.62	-0.03
6.74	0.53	-0.63	10.20	0.01
6.81	-0.01	-0.20	8.39	0.01
6.88	-0.67	-0.11	8.83	-0.04
6.95	-0.45	-0.71	8.12	-0.07
7.02	-0.03	-0.75	9.59	-0.07
7.08	0.02	-0.91	8.99	-0.07
7.15	0.57	0.04	9.78	-0.03
7.22	-0.05	0.28	8.51	-0.03
7.29	0.29	-0.44	8.77	-0.01
7.35	-0.08	-1.00	9.59	-0.01
7.42	0.60	-0.43	8.19	0.03
7.49	0.05	-0.75	10.30	0.03
7.56	-0.09	-1.49	9.50	0.03
7.63	-0.05	-0.65	10.11	0.02
7.69	-0.01	-0.47	8.02	0.02
7.76	-0.11	-0.65	8.37	0.02
7.83	-0.21	-0.74	9.61	0.00
7.90	0.67	-0.54	7.36	0.05
7.97	0.24	-0.53	8.55	0.07
8.03	-0.09	-0.82	9.21	0.06
8.10	-0.25	-0.58	8.22	0.04
8.17	-0.56	-0.82	9.97	0.01
8.24	0.13	-0.85	9.42	0.02
8.31	-0.35	-0.67	9.85	-0.01
8.37	0.21	-1.09	10.20	0.01
8.44	-0.25	-0.84	10.20	-0.01
8.51	0.17	-0.73	9.03	0.00
8.58	-0.35	-0.66	10.00	-0.02
8.64	0.18	-0.32	7.78	-0.01
8.71	-0.44	-0.83	10.00	-0.04
8.78	-0.13	-0.46	8.71	-0.05
8.85	0.10	-0.90	10.13	-0.04
8.92	0.51	-0.37	8.18	-0.00
8.99	-0.22	-0.44	9.32	-0.02
9.06	0.27	-1.08	10.04	0.00
9.13	-0.25	-0.45	8.21	-0.01
9.19	0.08	-0.59	8.61	-0.01
9.26	0.57	-0.66	9.35	0.03
9.33	0.16	-1.04	10.33	0.04
9.40	-0.07	-0.49	8.41	0.04
9.46	-0.23	-0.73	8.90	0.02
9.53	-0.51	-0.50	8.20	-0.01
9.60	0.07	-0.42	7.61	-0.00
9.67	-0.46	-0.53	8.87	-0.04
9.73	0.03	-0.87	8.42	-0.03
9.80	0.43	-0.90	9.85	-0.00
9.87	0.01	-0.30	8.32	-0.00
9.94	0.58	-0.75	8.79	0.04
10.01	0.31	-0.82	9.87	0.06
10.07	0.13	-0.32	8.03	0.07
10.14	0.11	-0.30	8.43	0.08
10.21	0.04	-0.53	8.70	0.08
10.28	-0.03	-0.91	10.11	0.08
10.35	-0.05	-0.29	8.12	0.08
10.41	0.11	-0.53	8.45	0.09
10.48	0.03	-0.79	7.34	0.09
10.55	-0.01	-1.60	9.63	0.09
10.62	-0.06	-1.06	9.06	0.09
10.68	0.05	-0.24	8.78	0.09
10.75	0.07	0.14	9.41	0.09
10.82	-0.01	-0.53	9.27	0.10
10.89	-0.07	-0.80	9.01	0.09
10.95	0.06	-0.13	7.46	0.10
11.02	0.13	-0.13	7.81	0.10
11.09	-0.01	0.56	9.92	0.10
11.16	0.03	-0.47	8.58	0.11
11.23	0.10	-1.08	9.56	0.11
11.30	-0.16	-0.27	8.66	0.10
11.37	-1.02	-0.85	8.40	0.04
11.43	-0.59	-1.88	9.80	-0.00
11.50	-0.19	-1.24	6.92	-0.01
11.57	-0.20	-0.66	10.67	-0.03
11.64	0.10	-0.35	8.32	-0.02
11.71	-0.12	-1.00	10.31	-0.03
11.77	-0.70	-0.44	7.48	-0.07
11.84	-0.53	0.35	9.90	-0.11
11.91	-0.40	-1.03	8.86	-0.14
11.98	-0.54	-0.10	9.02	-0.17
12.04	-0.68	-0.74	9.12	-0.22
12.11	-0.89	-0.41	9.03	-0.28
12.18	-1.02	-0.64	8.85	-0.35
12.25	-0.96	-1.13	8.84	-0.41
12.32	-0.86	-1.25	8.73	-0.47
12.39	-0.79	-1.41	8.69	-0.52
12.46	-0.47	-0.88	8.91	-0.56
12.53	0.20	-0.34	9.05	-0.54
12.59	0.76	-0.54	8.92	-0.49
12.66	1.12	-1.16	8.54	-0.41
12.73	1.30	-0.38	9.00	-0.33
12.81	1.62	0.35	8.41	-0.19
12.88	1.36	-1.06	10.73	-0.10
12.94	1.37	-0.59	7.69	-0.01
13.01	0.59	-1.08	10.14	0.03
13.08	-0.01	-0.95	7.61	0.03
13.15	-0.51	-2.08	10.58	-0.00
13.22	-0.10	-1.19	8.70	-0.01
13.29	0.11	-1.06	6.96	0.00
13.36	0.12	-2.10	10.71	0.01
13.43	-0.52	-1.41	9.08	-0.02
13.50	-0.88	-1.34	10.06	-0.08
13.57	-0.45	-1.53	9.23	-0.12
13.64	0.17	-1.16	9.86	-0.10
13.71	0.34	-0.83	9.45	-0.08
13.77	0.34	-0.45	8.10	-0.06
13.84	0.16	-0.37	8.82	-0.05
13.91	-0.44	-0.91	9.07	-0.07
13.98	-0.31	-1.05	10.69	-0.10
14.05	-0.69	-0.53	8.33	-0.14
14.12	-0.19	-0.75	9.38	-0.15
14.19	-0.14	-0.94	8.74	-0.16
14.25	-0.69	-0.83	8.85	-0.21
14.32	-0.70	-0.56	9.08	-0.26
